,graph_name,noBranchingapc,noBranching_time,noBranchingMathTime,noBranchingFirstHalfTime,(no)longest for getrgf,(no)longest time,noBranchingCase,noBranchingGamma
13,heap_sort_2_.heapSort,0.531426478625439*1.22074408460569**n,4.110544681549072,0.15289831161499023,2.086871862411499,gammaTime,2.079,1.0,-T0 + x*(x**5/(x**13*(x + 1)*(x**8 + x**7 + x**6 + x**3)/((x**7 + x**6 - 1)*(x**10 + x**9 + x**8 - 1)) + x**7*(x + 1)/(x**7 + x**6 - 1) + x**6*(x**8 + x**7 + x**6 + x**3)/(x**10 + x**9 + x**8 - 1) + 1) + x**2)
14,insertion_sort_.insertionSort,0.106459179366085*1.34844773121226**n,0.8063526153564453,0.051741838455200195,0.4150726795196533,gammaTime,0.412,1.0,(-T0*(x**7 + x**6 + x**4 + x**3 - 1) + x**3*(x**4 + x**3 - 1))/(x**7 + x**6 + x**4 + x**3 - 1)
15,insertion_sort_recursive_.RecursionInsertionSort,0.106459179366085*1.34844773121226**n,0.6579234600067139,0.03281378746032715,0.34507322311401367,gammaTime,0.343,1.0,(-T0*(x**4 + x**3 - 1) + x**3*(-T0*x**3*(x + 1) + x**4 + x**3 - 1))/(x**4 + x**3 - 1)
16,merge_sort_.merge_sort,1.37031143681497**n,3.082041025161743,case 2,1.9314758777618408,gammaTime,1.922,2.0,-T0 + x**4*(-T0**2*x**2*(2*x**10/(2*x**10 - 2*x**8 - 2*x**7 + 2*x**5 - x**4 + x**3 + x - 1) - x) + x**4 + 2)
17,merge_sort_nr_.mergesort,0.00617030003416683*1.40534464002752**n,4.531008958816528,0.12055325508117676,3.4847512245178223,gammaTime,3.477,1.0,(-T0*(-2*x**17 - 2*x**16 + 2*x**15 + 2*x**14 + x**11 - x**9 + (x**3 - 1)*(2*x**13 + 2*x**12 + 4*x**11 + 2*x**10 - 2*x**9 - 4*x**8 - 2*x**7 + 2*x**6 + x**5 + x**3 + x**2 - 1)) + x**3*(x**3 - 1)*(2*x**13 + 2*x**12 + 4*x**11 + 2*x**10 - 2*x**9 - 4*x**8 - 2*x**7 + 2*x**6 + x**5 + x**3 + x**2 - 1))/(-2*x**17 - 2*x**16 + 2*x**15 + 2*x**14 + x**11 - x**9 + (x**3 - 1)*(2*x**13 + 2*x**12 + 4*x**11 + 2*x**10 - 2*x**9 - 4*x**8 - 2*x**7 + 2*x**6 + x**5 + x**3 + x**2 - 1))
18,multikey_quick_sort_.ssort1main,1.46339257546651**n,110.84332489967346,case 2,5.994715452194214,realnrootsTime,53.445,2.0,(-T0*(x**2 - 1)**2*(x**12 + 4*x**11 + 5*x**10 + 2*x**9 - 2*x**6 - 4*x**5 - 2*x**4 + 1) + x**6*(4*T0**2*x**12*(2*T0*x + T0 + x**2*(T0 + x**2 + 2*x + 1)) + (x**2 - 1)**2*(x**12 + 4*x**11 + 5*x**10 + 2*x**9 - 2*x**6 - 4*x**5 - 2*x**4 + 1)))/((x**2 - 1)**2*(x**12 + 4*x**11 + 5*x**10 + 2*x**9 - 2*x**6 - 4*x**5 - 2*x**4 + 1))
19,odd_even_sort_.oddEvenSort,0.114898719951153*1.27626665576065**n,1.4612798690795898,0.09018898010253906,0.9445540904998779,gammaTime,0.939,1.0,(-T0*(x**16 + 2*x**12 - x**8 - x**6 - 2*x**4 + 1) + x**3*(x**16 + 2*x**12 - x**8 - 2*x**4 + 1))/(x**16 + 2*x**12 - x**8 - x**6 - 2*x**4 + 1)
20,pancake_sort_.pancakeSort,0.0957420817727813*1.2878033636613**n,1.2525885105133057,0.07600045204162598,0.600733757019043,gammaTime,0.596,1.0,-T0 + x**3/(x**14/((x**2 - 1)**2*(x**5 + x**4 - 1)) + x**7/(x**5 + x**4 - 1) + 1)
21,partition_sort_.partitionSort,1.29602933651131**n,0.964820384979248,case 2,0.6031959056854248,gammaTime,0.598,2.0,-T0 - x**2*(T0**2*x**10/(x**11 - x**4 + 2*x**2 - 1) - 1)
22,patience_sort_.patienceSort,0.117948019318271*1.34114339071402**n,4.545774221420288,0.11868548393249512,3.425014019012451,gammaTime,3.415,1.0,-T0 + x**9*(x**7 + 2*x**6 + 2*x**5 + x**4 - x - 1)/(x**18 + 2*x**17 + 3*x**16 + x**15 - 2*x**14 - 4*x**13 - 5*x**12 - 4*x**11 - 5*x**10 - 3*x**9 - x**8 + x**7 + 2*x**6 + 2*x**5 + 3*x**4 + 2*x**3 - x - 1)
