,graph_name,noBranchingapc,BranchingAPC,pythonBranchingAPC,noBranching_time,BranchingAPC_time,pythonBranching_time,noBranchingFirstHalfTime,noBranchingMathTime,(no)longest for getrgf,(no)longest time,noBranchingCase,noBranchingGamma,BranchingFirstHalfTime,BranchingMathTime,longest for getrgf,longest time,case,gamma,pythonBranchingMathTime,pythonBranchingFirstHalfTime,(python)longest for getrgf,(python)longest time,pythonBranchingCase,pythonBranchingGamma
10,cycle_sort_.cycleSort,0.039284965877196*1.35597563564677**n,0.0114702058934394*2.57445019204209**n,0.039284965877196*1.35597563564677**n,5.433715581893921,2.224176406860352,4.651587247848511,4.350443124771118,0.12966251373291016,gammaTime,4.342,1.0,(-T0*(x**20 + x**19 + x**17 + 2*x**16 + x**15 - x**12 - 2*x**11 + x**10 + 2*x**9 + 2*x**8 + x**7 + x**6 - 2*x**5 - 2*x**4 - x**2 + 1) + x**3*(x**16 + x**15 - 2*x**11 + 2*x**9 + x**8 + x**7 + 2*x**6 - 2*x**5 - 2*x**4 - x**2 + 1))/(x**20 + x**19 + x**17 + 2*x**16 + x**15 - x**12 - 2*x**11 + x**10 + 2*x**9 + 2*x**8 + x**7 + x**6 - 2*x**5 - 2*x**4 - x**2 + 1),1.5898315906524658,0.06408095359802246,gammaTime,1.586,1.0,(-T0*(3*x**8 + x**7 - x**6 + 3*x**5 - x**4 - 2*x**3 + 7*x**2 - 5*x + 1) + x**3*(2*x**7 - x**6 + 2*x**4 - 5*x**3 + 8*x**2 - 5*x + 1))/(3*x**8 + x**7 - x**6 + 3*x**5 - x**4 - 2*x**3 + 7*x**2 - 5*x + 1),0.12787985801696777,3.5821094512939453,gammaTime,3.574,1.0,(-T0*(x**20 + x**19 + x**17 + 2*x**16 + x**15 - x**12 - 2*x**11 + x**10 + 2*x**9 + 2*x**8 + x**7 + x**6 - 2*x**5 - 2*x**4 - x**2 + 1) + x**3*(x**16 + x**15 - 2*x**11 + 2*x**9 + x**8 + x**7 + 2*x**6 - 2*x**5 - 2*x**4 - x**2 + 1))/(x**20 + x**19 + x**17 + 2*x**16 + x**15 - x**12 - 2*x**11 + x**10 + 2*x**9 + 2*x**8 + x**7 + x**6 - 2*x**5 - 2*x**4 - x**2 + 1)
11,gnome_sort_.sort,0.527997910385537*1.24985158886433**n,0.0555555555555555*3.0**n,0.527997910385537*1.24985158886433**n,0.4787967205047607,0.1877627372741699,0.4147741794586181,0.1927385330200195,0.033643484115600586,genFuncTime,0.212,1.0,(-T0*(x**6 + x**5 + x**4 - 1) - x**3)/(x**6 + x**5 + x**4 - 1),0.1024284362792968,0.008747339248657227,gammaTime,0.101,1.0,(-3*T0*x + T0 - x**3)/(3*x - 1),0.034240007400512695,0.1946413516998291,gammaTime,0.192,1.0,(-T0*(x**6 + x**5 + x**4 - 1) - x**3)/(x**6 + x**5 + x**4 - 1)
12,heap_sort_.heapsort,0.0701906659058742*1.34582785872077**n,0.00124677279415261*2.47892931505838**n,0.0701906659058742*1.34582785872077**n,1.3035500049591064,0.6943681240081787,1.330695867538452,0.7289855480194092,0.07896828651428223,gammaTime,0.724,1.0,(-T0*x**6*(x**5 + x**4 + x**3 + 1) - (T0 - x**3)*(x**9 + 2*x**8 + 2*x**7 + x**6 - 1))/(x**9 + 2*x**8 + 2*x**7 + x**6*(x**5 + x**4 + x**3 + 1) + x**6 - 1),0.4033305644989013,0.03498125076293945,gammaTime,0.399,1.0,(-T0*x**5*(3*x + 1) - (T0 - x**3)*(6*x**2 - 1))/(x**5*(3*x + 1) + 6*x**2 - 1),0.07240104675292969,0.7662739753723145,gammaTime,0.761,1.0,(-T0*x**6*(x**5 + x**4 + x**3 + 1) - (T0 - x**3)*(x**9 + 2*x**8 + 2*x**7 + x**6 - 1))/(x**9 + 2*x**8 + 2*x**7 + x**6*(x**5 + x**4 + x**3 + 1) + x**6 - 1)
13,heap_sort_2_.heapSort,0.531426478625439*1.22074408460569**n,0.143209975264087*1.36391517810094**n,0.531426478625439*1.22074408460569**n,4.110544681549072,2.1438608169555664,4.152249813079834,2.086871862411499,0.15289831161499023,gammaTime,2.079,1.0,-T0 + x*(x**5/(x**13*(x + 1)*(x**8 + x**7 + x**6 + x**3)/((x**7 + x**6 - 1)*(x**10 + x**9 + x**8 - 1)) + x**7*(x + 1)/(x**7 + x**6 - 1) + x**6*(x**8 + x**7 + x**6 + x**3)/(x**10 + x**9 + x**8 - 1) + 1) + x**2),1.317500352859497,0.14472103118896484,gammaTime,1.311,1.0,(-T0*(x**13*(6*x + 2) + x**7*(3*x + 1)*(2*x**5 - 1) + (3*x**5 - 1)*(2*x**6 + 2*x**5 - 1)) + x**2*(x**13*(6*x + 2) + x**7*(3*x + 1)*(2*x**5 - 1) + (3*x**5 - 1)*(2*x**6 + (x**2 + 1)*(2*x**5 - 1))))/(2*x**13*(3*x + 1) + x**7*(3*x + 1)*(2*x**5 - 1) + (3*x**5 - 1)*(2*x**6 + 2*x**5 - 1)),0.15374207496643066,2.184443712234497,gammaTime,2.175,1.0,-T0 + x*(x**5/(x**13*(x + 1)*(x**8 + x**7 + x**6 + x**3)/((x**7 + x**6 - 1)*(x**10 + x**9 + x**8 - 1)) + x**7*(x + 1)/(x**7 + x**6 - 1) + x**6*(x**8 + x**7 + x**6 + x**3)/(x**10 + x**9 + x**8 - 1) + 1) + x**2)
14,insertion_sort_.insertionSort,0.106459179366085*1.34844773121226**n,0.0635075893428359*1.76929235423863**n,0.106459179366085*1.34844773121226**n,0.8063526153564453,0.4638576507568359,0.784125566482544,0.4150726795196533,0.051741838455200195,gammaTime,0.412,1.0,(-T0*(x**7 + x**6 + x**4 + x**3 - 1) + x**3*(x**4 + x**3 - 1))/(x**7 + x**6 + x**4 + x**3 - 1),0.2341954708099365,0.026226520538330078,gammaTime,0.232,1.0,(-T0*(2*x**3 + 2*x**2 - 1) + x**3*(2*x**2 - 1))/(2*x**3 + 2*x**2 - 1),0.04787039756774902,0.4000906944274902,gammaTime,0.397,1.0,(-T0*(x**7 + x**6 + x**4 + x**3 - 1) + x**3*(x**4 + x**3 - 1))/(x**7 + x**6 + x**4 + x**3 - 1)
15,insertion_sort_recursive_.RecursionInsertionSort,0.106459179366085*1.34844773121226**n,0.0838998159266757*1.58258581424453**n,0.106459179366085*1.34844773121226**n,0.6579234600067139,0.4808497428894043,0.5597057342529297,0.3450732231140136,0.03281378746032715,gammaTime,0.343,1.0,(-T0*(x**4 + x**3 - 1) + x**3*(-T0*x**3*(x + 1) + x**4 + x**3 - 1))/(x**4 + x**3 - 1),0.1914763450622558,0.03406977653503418,genFuncTime,0.224,1.0,(-2*T0*x**5 - 2*T0*x**2 + T0 + 2*x**4 - x**2)/(2*x**2 - 1),0.025982141494750977,0.3117952346801758,gammaTime,0.308,1.0,(-T0*x**7 - T0*x**6 - T0*x**4 - T0*x**3 + T0 + x**7 + x**6 - x**3)/(x**4 + x**3 - 1)
16,merge_sort_.merge_sort,1.37031143681497**n,2.05212093236287**n,1.37031143681497**n,3.082041025161743,0.8687644004821777,3.403204679489136,1.9314758777618408,case 2,gammaTime,1.922,2.0,-T0 + x**4*(-T0**2*x**2*(2*x**10/(2*x**10 - 2*x**8 - 2*x**7 + 2*x**5 - x**4 + x**3 + x - 1) - x) + x**4 + 2),0.7062113285064697,case 2,gammaTime,0.701,2.0,-T0 + x**2*(-T0**2*x**2*(4*x**5/(4*x**4 - 8*x**3 + 3*x**2 + 2*x - 1) - x) + x**3 + 2),case 2,2.2082014083862305,gammaTime,2.198,2.0,-T0 + x**4*(-T0**2*x**3*(-2*x**10 + 2*x**9 + 2*x**8 + 2*x**7 - 2*x**5 + x**4 - x**3 - x + 1)/(2*x**10 - 2*x**8 - 2*x**7 + 2*x**5 - x**4 + x**3 + x - 1) + x**4 + 2)
17,merge_sort_nr_.mergesort,0.00617030003416683*1.40534464002752**n,0.000119581429240798*2.26281491460974**n,0.00617030003416683*1.40534464002752**n,4.531008958816528,2.049903392791748,4.4810638427734375,3.4847512245178223,0.12055325508117676,gammaTime,3.477,1.0,(-T0*(-2*x**17 - 2*x**16 + 2*x**15 + 2*x**14 + x**11 - x**9 + (x**3 - 1)*(2*x**13 + 2*x**12 + 4*x**11 + 2*x**10 - 2*x**9 - 4*x**8 - 2*x**7 + 2*x**6 + x**5 + x**3 + x**2 - 1)) + x**3*(x**3 - 1)*(2*x**13 + 2*x**12 + 4*x**11 + 2*x**10 - 2*x**9 - 4*x**8 - 2*x**7 + 2*x**6 + x**5 + x**3 + x**2 - 1))/(-2*x**17 - 2*x**16 + 2*x**15 + 2*x**14 + x**11 - x**9 + (x**3 - 1)*(2*x**13 + 2*x**12 + 4*x**11 + 2*x**10 - 2*x**9 - 4*x**8 - 2*x**7 + 2*x**6 + x**5 + x**3 + x**2 - 1)),1.4698796272277832,0.06102633476257324,gammaTime,1.464,1.0,(4*T0*x**9 - T0*x**7 - 4*T0*x**5 - 4*T0*x**4 + 8*T0*x**3 - 3*T0*x**2 - 2*T0*x + T0 + 4*x**8 + 4*x**7 - 8*x**6 + 3*x**5 + 2*x**4 - x**3)/(-4*x**9 + x**7 + 4*x**5 + 4*x**4 - 8*x**3 + 3*x**2 + 2*x - 1),0.11976456642150879,3.401470899581909,gammaTime,3.389,1.0,(-T0*(-2*x**17 - 2*x**16 + 2*x**15 + 2*x**14 + x**11 - x**9 + (x**3 - 1)*(2*x**13 + 2*x**12 + 4*x**11 + 2*x**10 - 2*x**9 - 4*x**8 - 2*x**7 + 2*x**6 + x**5 + x**3 + x**2 - 1)) + x**3*(x**3 - 1)*(2*x**13 + 2*x**12 + 4*x**11 + 2*x**10 - 2*x**9 - 4*x**8 - 2*x**7 + 2*x**6 + x**5 + x**3 + x**2 - 1))/(-2*x**17 - 2*x**16 + 2*x**15 + 2*x**14 + x**11 - x**9 + (x**3 - 1)*(2*x**13 + 2*x**12 + 4*x**11 + 2*x**10 - 2*x**9 - 4*x**8 - 2*x**7 + 2*x**6 + x**5 + x**3 + x**2 - 1))
18,multikey_quick_sort_.ssort1main,1.46339257546651**n,2.44958209740071**n,1.46339257546651**n,110.84332489967346,20.22522521018982,113.62129831314088,5.994715452194214,case 2,realnrootsTime,53.445,2.0,(-T0*(x**2 - 1)**2*(x**12 + 4*x**11 + 5*x**10 + 2*x**9 - 2*x**6 - 4*x**5 - 2*x**4 + 1) + x**6*(4*T0**2*x**12*(2*T0*x + T0 + x**2*(T0 + x**2 + 2*x + 1)) + (x**2 - 1)**2*(x**12 + 4*x**11 + 5*x**10 + 2*x**9 - 2*x**6 - 4*x**5 - 2*x**4 + 1)))/((x**2 - 1)**2*(x**12 + 4*x**11 + 5*x**10 + 2*x**9 - 2*x**6 - 4*x**5 - 2*x**4 + 1)),1.8968276977539065,case 2,realnrootsTime,9.337,2.0,(-T0*(x - 1)**2*(12*x**4 - 8*x**2 + 1) + x**4*(16*T0**3*x**8 + 16*T0**2*x**9 + (x - 1)**2*(12*x**4 - 8*x**2 + 1)))/((x - 1)**2*(12*x**4 - 8*x**2 + 1)),case 2,6.313355684280396,realnrootsTime,54.834,2.0,(-T0*(x**2 - 1)**2*(x**12 + 4*x**11 + 5*x**10 + 2*x**9 - 2*x**6 - 4*x**5 - 2*x**4 + 1) + x**6*(4*T0**2*x**12*(2*T0*x + T0 + x**2*(T0 + x**2 + 2*x + 1)) + (x**2 - 1)**2*(x**12 + 4*x**11 + 5*x**10 + 2*x**9 - 2*x**6 - 4*x**5 - 2*x**4 + 1)))/((x**2 - 1)**2*(x**12 + 4*x**11 + 5*x**10 + 2*x**9 - 2*x**6 - 4*x**5 - 2*x**4 + 1))
19,odd_even_sort_.oddEvenSort,0.114898719951153*1.27626665576065**n,0.043499605506648*1.8798755203097**n,0.114898719951153*1.27626665576065**n,1.4612798690795898,1.39111590385437,1.5286970138549805,0.944554090499878,0.09018898010253906,gammaTime,0.939,1.0,(-T0*(x**16 + 2*x**12 - x**8 - x**6 - 2*x**4 + 1) + x**3*(x**16 + 2*x**12 - x**8 - 2*x**4 + 1))/(x**16 + 2*x**12 - x**8 - x**6 - 2*x**4 + 1),0.8956012725830078,0.0459744930267334,gammaTime,0.891,1.0,(-T0*(x**8 + 2*x**5 - 2*x**4 - x**3 + x**2 - 2*x + 1) + x**3*(x**8 + 2*x**5 - 2*x**4 + x**2 - 2*x + 1))/(x**8 + 2*x**5 - 2*x**4 - x**3 + x**2 - 2*x + 1),0.08854055404663086,1.0285723209381104,gammaTime,1.023,1.0,-T0 + x**2*(T0*x**4/(x**16 + 2*x**12 - x**8 - 2*x**4 + 1) + x)
