,graph_name,pythonBranchingAPC,pythonBranching_time,pythonBranchingMathTime,pythonBranchingFirstHalfTime,(python)longest for getrgf,(python)longest time,pythonBranchingCase,pythonBranchingGamma
24,quick_sort_.quickSort,1.23616310201623**n,0.5266575813293457,case 2,0.34089183807373047,gammaTime,0.335,2.0,(-T0*(x**8 + x**4 - 1) + x**2*(-T0**2*x**7 + x**8 + x**4 - 1))/(x**8 + x**4 - 1)
25,radix_sort_.RadixSort,0.163860778365951*1.28181627072238**n,3.216369390487671,0.11944341659545898,2.237074613571167,gammaTime,2.227,1.0,(-T0*(x**5 + x**4 - 1)*(2*x**12 + 2*x**11 + x**10 - x**9 - 2*x**8 - 3*x**7 - 2*x**6 + x**5 + 3*x**4 + 3*x**3 - x - 1) + x**8*(x**10 + x**9 + 2*x**8 - 3*x**5 - 2*x**4 - 2*x**3 + x**2 + x + 1))/((x**5 + x**4 - 1)*(2*x**12 + 2*x**11 + x**10 - x**9 - 2*x**8 - 3*x**7 - 2*x**6 + x**5 + 3*x**4 + 3*x**3 - x - 1))
26,radix_sort_2_.radixsort2,0.101456341927512*1.27284277900789**n,1.1591510772705078,0.08170485496520996,0.75180983543396,gammaTime,0.746,1.0,(-T0*x**11 + (T0 - x**3)*(x**3 - 1)**4)/(x**11 - (x**3 - 1)**4)
27,random_quick_sort_.random_quick,1.30640546411564**n,2.0662596225738525,case 2,1.1727864742279053,gammaTime,1.163,2.0,(T0**2*x**16*(-x**5 - x**4 - 2*x**2 - 2*x - 1) - (T0 - x**3)*(x**13 - (x**3 - x**2 + x - 1)**2))/(x**13 - (x**3 - x**2 + x - 1)**2)
28,selection_sort_.selectionSort,0.136868029964744*1.27404951985022**n,0.9067292213439941,0.049451351165771484,0.48657822608947754,gammaTime,0.483,1.0,(-T0*(x**10 + x**6 + x**5 + x**4 - 1) + x**3*(x**5 + x**4 - 1))/(x**10 + x**6 + x**5 + x**4 - 1)
29,selection_sort_recursive_.selectionSort,0.126226716088359*1.25738147630109**n,0.744560718536377,0.07330489158630371,0.26031947135925293,genFuncTime,0.292,1.0,(-T0*(x**5 + x**4 - 1) + x**3*(-T0*x**4*(x**4 + 1) + x**5 + x**4 - 1))/(x**5 + x**4 - 1)
30,shaker_sort_.shakersort,0.122537298997777*1.25986094258467**n,1.7291059494018555,0.1020362377166748,1.107633113861084,gammaTime,1.102,1.0,-T0 + x**2*(T0*x**5/(x**16 + 2*x**12 - x**8 - 2*x**4 + 1) + x)
31,shell_sort_.shellSort,0.0857024477555051*1.26151684096538**n,1.4504671096801758,0.06527900695800781,0.9803409576416016,gammaTime,0.976,1.0,(-T0*(-x**13 - x**12 + x**8 + 2*x**7 + x**6 + x**5 - 1) + x**3*(x**8 + 2*x**7 + x**6 - 1))/(-x**13 - x**12 + x**8 + 2*x**7 + x**6 + x**5 - 1)
32,shell_sort2_.shell_sort,0.040929564523023*1.32471795724478**n,1.107208251953125,0.06516718864440918,0.7086031436920166,gammaTime,0.705,1.0,(-T0*(-x**10 - x**9 + x**7 + x**6 + 2*x**5 + x**4 - 1) + x**3*(x**7 + x**6 + x**5 + x**4 - 1))/(-x**10 - x**9 + x**7 + x**6 + 2*x**5 + x**4 - 1)
33,stooge_sort_.stoogesort,1.34707687617538**n,0.9297749996185303,case 2,0.08524560928344727,realnrootsTime,0.435,2.0,-T0 + x**4*(T0**3 + 1)*(x + 1)
34,binary_search_.binarysearch2,3.0*1.12246204830937**n,0.45723915100097656,0.1185159683227539,0.23229765892028809,gammaTime,0.228,1.0,(-2*T0*x**6 + T0 - x**6 - x**5 - x**4)/(2*x**6 - 1)
